filename, language, C++, Ini, JSON with Comments, Markdown, comment, blank, total
logo.h, C++, 40, 0, 0, 0, 4, 3, 47
motion.cpp, C++, 2788, 0, 0, 0, 616, 207, 3611
motion.h, C++, 792, 0, 0, 0, 37, 28, 857
pins.h, C++, 1873, 0, 0, 0, 808, 578, 3259
src\SdFat\BlockDriver.h, C++, 10, 0, 0, 0, 30, 1, 41
src\SdFat\FatLib\ArduinoFiles.h, C++, 96, 0, 0, 0, 153, 1, 250
src\SdFat\FatLib\ArduinoStream.h, C++, 85, 0, 0, 0, 64, 5, 154
src\SdFat\FatLib\BaseBlockDriver.h, C++, 14, 0, 0, 0, 66, 1, 81
src\SdFat\FatLib\FatApiConstants.h, C++, 22, 0, 0, 0, 48, 3, 73
src\SdFat\FatLib\FatFile.cpp, C++, 1200, 0, 0, 0, 222, 76, 1498
src\SdFat\FatLib\FatFile.h, C++, 295, 0, 0, 0, 667, 8, 970
src\SdFat\FatLib\FatFileLFN.cpp, C++, 559, 0, 0, 0, 104, 27, 690
src\SdFat\FatLib\FatFilePrint.cpp, C++, 270, 0, 0, 0, 92, 11, 373
src\SdFat\FatLib\FatFileSFN.cpp, C++, 209, 0, 0, 0, 56, 14, 279
src\SdFat\FatLib\FatFileSystem.h, C++, 211, 0, 0, 0, 408, 5, 624
src\SdFat\FatLib\FatLib.h, C++, 10, 0, 0, 0, 26, 1, 37
src\SdFat\FatLib\FatLibConfig.h, C++, 45, 0, 0, 0, 100, 2, 147
src\SdFat\FatLib\FatStructs.h, C++, 219, 0, 0, 0, 659, 5, 883
src\SdFat\FatLib\FatVolume.cpp, C++, 492, 0, 0, 0, 82, 33, 607
src\SdFat\FatLib\FatVolume.h, C++, 229, 0, 0, 0, 143, 4, 376
src\SdFat\FatLib\FmtNumber.cpp, C++, 354, 0, 0, 0, 97, 10, 461
src\SdFat\FatLib\FmtNumber.h, C++, 18, 0, 0, 0, 25, 1, 44
src\SdFat\FatLib\StdioStream.cpp, C++, 454, 0, 0, 0, 56, 16, 526
src\SdFat\FatLib\StdioStream.h, C++, 206, 0, 0, 0, 460, 2, 668
src\SdFat\FatLib\bufstream.h, C++, 107, 0, 0, 0, 62, 4, 173
src\SdFat\FatLib\desktop.ini, Ini, 0, 4, 0, 0, 0, 1, 5
src\SdFat\FatLib\fstream.cpp, C++, 122, 0, 0, 0, 41, 11, 174
src\SdFat\FatLib\fstream.h, C++, 157, 0, 0, 0, 160, 4, 321
src\SdFat\FatLib\ios.h, C++, 205, 0, 0, 0, 212, 7, 424
src\SdFat\FatLib\iostream.h, C++, 58, 0, 0, 0, 100, 1, 159
src\SdFat\FatLib\istream.cpp, C++, 342, 0, 0, 0, 48, 8, 398
src\SdFat\FatLib\istream.h, C++, 147, 0, 0, 0, 233, 5, 385
src\SdFat\FatLib\ostream.cpp, C++, 150, 0, 0, 0, 44, 5, 199
src\SdFat\FatLib\ostream.h, C++, 128, 0, 0, 0, 145, 4, 277
src\SdFat\FreeStack.h, C++, 26, 0, 0, 0, 35, 1, 62
src\SdFat\LICENSE.md, Markdown, 0, 0, 0, 17, 0, 4, 21
src\SdFat\MinimumSerial.cpp, C++, 38, 0, 0, 0, 36, 1, 75
src\SdFat\MinimumSerial.h, C++, 14, 0, 0, 0, 53, 1, 68
src\SdFat\README.md, Markdown, 0, 0, 0, 41, 0, 18, 59
src\SdFat\SdCard\SdInfo.h, C++, 234, 0, 0, 0, 240, 7, 481
src\SdFat\SdCard\SdSpiCard.cpp, C++, 535, 0, 0, 0, 104, 32, 671
src\SdFat\SdCard\SdSpiCard.h, C++, 116, 0, 0, 0, 251, 7, 374
src\SdFat\SdCard\SdSpiCardEX.cpp, C++, 67, 0, 0, 0, 28, 1, 96
src\SdFat\SdCard\SdioCard.h, C++, 55, 0, 0, 0, 244, 3, 302
src\SdFat\SdCard\SdioCardEX.cpp, C++, 76, 0, 0, 0, 30, 4, 110
src\SdFat\SdCard\SdioTeensy.cpp, C++, 578, 0, 0, 0, 117, 74, 769
src\SdFat\SdCard\desktop.ini, Ini, 0, 4, 0, 0, 0, 1, 5
src\SdFat\SdFat.h, C++, 216, 0, 0, 0, 203, 10, 429
src\SdFat\SdFatConfig.h, C++, 57, 0, 0, 0, 159, 1, 217
src\SdFat\SpiDriver\DigitalPin.h, C++, 190, 0, 0, 0, 194, 3, 387
src\SdFat\SpiDriver\SdSpiBaseDriver.h, C++, 16, 0, 0, 0, 63, 1, 80
src\SdFat\SpiDriver\SdSpiDriver.h, C++, 205, 0, 0, 0, 160, 5, 370
src\SdFat\SpiDriver\SdSpiESP8266.cpp, C++, 32, 0, 0, 0, 61, 1, 94
src\SdFat\SpiDriver\SdSpiSAM3X.cpp, C++, 152, 0, 0, 0, 62, 9, 223
src\SdFat\SpiDriver\SdSpiSTM32.cpp, C++, 67, 0, 0, 0, 64, 1, 132
src\SdFat\SpiDriver\SdSpiTeensy3.cpp, C++, 160, 0, 0, 0, 82, 3, 245
src\SdFat\SpiDriver\SoftSPI.h, C++, 101, 0, 0, 0, 64, 3, 168
src\SdFat\SpiDriver\boards\AvrDevelopersGpioPinMap.h, C++, 37, 0, 0, 0, 0, 0, 37
src\SdFat\SpiDriver\boards\BobuinoGpioPinMap.h, C++, 37, 0, 0, 0, 0, 0, 37
src\SdFat\SpiDriver\boards\GpioPinMap.h, C++, 41, 0, 0, 0, 4, 1, 46
src\SdFat\SpiDriver\boards\LeonardoGpioPinMap.h, C++, 35, 0, 0, 0, 0, 1, 36
src\SdFat\SpiDriver\boards\MegaGpioPinMap.h, C++, 75, 0, 0, 0, 0, 1, 76
src\SdFat\SpiDriver\boards\SleepingBeautyGpioPinMap.h, C++, 37, 0, 0, 0, 0, 0, 37
src\SdFat\SpiDriver\boards\Standard1284GpioPinMap.h, C++, 37, 0, 0, 0, 0, 0, 37
src\SdFat\SpiDriver\boards\Teensy2GpioPinMap.h, C++, 30, 0, 0, 0, 0, 1, 31
src\SdFat\SpiDriver\boards\Teensy2ppGpioPinMap.h, C++, 51, 0, 0, 0, 0, 1, 52
src\SdFat\SpiDriver\boards\UnoGpioPinMap.h, C++, 25, 0, 0, 0, 0, 0, 25
src\SdFat\SpiDriver\boards\desktop.ini, Ini, 0, 4, 0, 0, 0, 1, 5
src\SdFat\SpiDriver\desktop.ini, Ini, 0, 4, 0, 0, 0, 1, 5
src\SdFat\SysCall.h, C++, 44, 0, 0, 0, 43, 2, 89
src\SdFat\desktop.ini, Ini, 0, 4, 0, 0, 0, 1, 5
src\SdFat\sdios.h, C++, 5, 0, 0, 0, 28, 1, 34
src\desktop.ini, Ini, 0, 4, 0, 0, 0, 1, 5
u8glib_ex.h, C++, 6853, 0, 0, 0, 2598, 1453, 10904
ui.cpp, C++, 3686, 0, 0, 0, 305, 169, 4160
ui.h, C++, 559, 0, 0, 0, 71, 51, 681
uiconfig.h, C++, 149, 0, 0, 0, 267, 42, 458
uilang.cpp, C++, 7706, 0, 0, 0, 23, 61, 7790
uilang.h, C++, 4370, 0, 0, 0, 70, 81, 4521
uimenu.h, C++, 1053, 0, 0, 0, 324, 92, 1469
Total, -, 64593, 28, 8, 58, 15674, 5029, 85390
